date,cost_plan,cost_adjust_up,cost_adjust_down,cost_emergency,cost_total,energy_g0,energy_final_commitment,energy_up,energy_down,adjustment_churn,energy_emergency,energy_waste,charge_energy,discharge_energy,soc_0000,soc_0600,soc_1200,soc_1800,soc_2400,terminal_proxy_soc_0000,terminal_proxy_soc_0600,terminal_proxy_soc_1200,terminal_proxy_soc_1800
2025-02-01,39428.679374543965,0.0,-1569.1909203684486,0.0,37859.48845417552,65671.5475334008,60047.84397645948,0.0,5623.703556941305,0.0,0.0,25703.99417814609,9941.525605158238,9975.851740178176,6000.0,10232.24074074074,10800.0,10800.0,3863.093333333336,1200.0,1200.0,1200.0,1200.0
2025-02-02,67725.01902421581,0.0,-1515.112205191804,2.885553002208969,66212.79237202622,102559.23106761785,97199.85867292022,0.0,5359.372394697635,0.0,1.3245595603438005,17043.19150108481,16490.455791895216,14688.742010499467,3863.093333333336,10799.999999999969,9686.077597281674,10800.0,2383.679089928512,1200.0,1200.0,1200.0,1200.0
2025-02-03,60919.754628498646,40.92119316446575,-2470.0217788588457,1031.8278935489757,59522.481936353244,95528.96313662658,88557.71261493568,32.89267862276631,7004.143200313694,65.7853572455333,245.1649536701495,5303.469755416457,21271.13769493474,17988.646381745377,2383.679089928512,10794.732357355679,7754.919337466812,10800.0,1540.3181467638026,1200.0,1200.0,1200.0,1200.0
2025-02-04,62859.54921681113,0.0,-2433.053579957059,524.5012097304989,60950.996846584574,98336.31502530299,91515.14385201468,0.0,6821.171173288313,0.0,188.8951969926683,6079.711517398757,22836.66275479861,18407.199173190005,1540.3181467638026,10799.999999999565,7745.266566581946,10793.980222051618,1640.8711003158774,1200.0,1200.0,1200.0,1200.0
2025-02-05,58192.99958176025,53.974971908828856,-833.3285343086131,1170.9714645168356,58584.6174838773,92002.72771638815,89871.31757182433,39.07340977736894,2170.4835543412046,8.822098607197404e-11,255.6154596891431,5270.85893796104,22812.018844340368,18704.371734121265,1640.8711003158774,10781.234174905405,6731.793570522951,10799.82086124996,1389.0528000874683,1200.0,1200.0,1200.0,1200.0
2025-02-06,62748.30900513772,0.0,-3271.5046190073826,550.0557504157966,60026.860136546136,98292.99608571603,89301.04570702449,0.0,8991.950378691552,0.0,138.56901457145904,4612.613571439326,23037.178285208298,18481.234351718333,1389.0528000874683,10800.0,7473.928243225062,10800.0,1587.8084215323474,1200.0,1200.0,1200.0,1200.0
2025-02-07,31415.211037407986,0.0,-1774.988971729406,0.0,29640.22206567858,56971.552430218435,50627.83356333451,0.0,6343.718866883924,0.0,0.0,14710.20376941488,17363.52525179533,13251.575124542369,1587.8084215323474,10250.770370370368,8919.798579981714,10546.280602360332,2491.008787545515,1200.0,1200.0,1200.0,1200.0
2025-02-08,33595.86104034135,700.5889834796499,-591.852372375943,0.0,33704.59765144505,58777.94147877983,56945.01484028912,817.9794641120768,2650.9061026027744,441.926657849609,0.0,21554.259613440277,15059.140590197856,11245.54808001567,2491.008787545515,10238.80555555452,10800.0,10800.0,3549.18189648395,1200.0,1200.0,1200.0,1200.0
2025-02-09,66511.79052101239,80.9620764905238,-1327.1169570549432,118.4130599566723,65384.04870040464,100968.58885970767,96540.4293013861,72.16429046881956,4500.323848790391,15.499199999999291,28.818948393796177,14877.381727528518,17003.658190703478,14867.207635118762,3549.18189648395,10800.0,9860.853625155938,10800.0,2333.354673540681,1200.0,1200.0,1200.0,1200.0
2025-02-10,54432.575388718746,2540.5577895836445,-2987.8688216588125,1559.1897744976304,55544.45413114121,86329.79755444583,80000.36985138108,2509.704886702675,8839.132589767421,4803.2722159308605,462.69785986674236,2859.7117990671522,21266.047515254522,17989.32918640718,2333.354673540681,9882.935753399308,7209.1240735442725,10795.69131198746,1484.653896817329,1200.0,1200.0,1200.0,1200.0
2025-02-11,54795.65143063934,0.0,-2038.3196185818247,2053.428096645448,54810.75990870296,86947.47631864388,81580.4458222722,0.0,5367.030496371675,0.0,448.06830169921767,2671.9985732950727,22546.29164067656,18410.37322333355,1484.653896817329,9926.986811864099,7027.373792853621,10800.0,1320.3461252778486,1200.0,1200.0,1200.0,1200.0
2025-02-12,54824.65657975852,0.0,-1876.9347536225205,1632.6571974750223,54580.37902361102,87326.32430487123,81749.21961094729,0.0,5577.104693923947,0.0,408.19632622655536,2464.901328074643,22693.71375821209,18267.935282446226,1320.3461252778486,10025.897559453902,7580.206535372791,10800.0,1446.9826382840297,1200.0,1200.0,1200.0,1200.0
2025-02-13,49470.738840774095,1327.5454550922127,-1033.2015132076317,1898.5447895287116,51663.62757218739,80036.43472389925,77908.64588358824,1242.1338824623654,3369.922722773369,6.768129241727365,475.4123285326289,3034.7234358815813,21399.603110260592,17379.747350687976,1446.9826382840297,9847.162847963042,7719.439941713429,10776.943077114189,1395.7950478652608,1200.0,1200.0,1200.0,1200.0
2025-02-14,24532.142643592306,1221.7131940207023,-524.3128559701421,13.53513808514659,25243.078119728012,45905.698706606796,44686.4199536324,1159.4367013266667,2378.7154543010647,581.8731819589784,6.213053975279593,10496.259982968139,17916.32245158917,13521.751243616296,1395.7950478652608,9938.180134592241,7208.87295335969,10519.956113240374,2496.3172058329656,1200.0,1200.0,1200.0,1200.0
2025-02-15,30811.016924817646,0.0,-1798.7976262045236,0.0,29012.219298613123,55318.067047097065,48256.05284355488,0.0,7062.0142035421795,0.0,0.0,15473.00603851046,15788.391152247745,12285.435447203323,2496.3172058329656,10191.87037037037,9045.823216926092,10800.0,3055.3854126300203,1200.0,1200.0,1200.0,1200.0
2025-02-16,59969.31280236958,0.0,-2872.7791443259903,311.32115095266937,57407.854808996264,92935.19798179963,84586.6875887936,0.0,8348.510393006014,0.0,108.4190653283938,6863.879887206335,18840.039571707366,16386.191904791696,3055.3854126300203,10800.0,8451.248268475298,10800.0,1804.5411329536578,1200.0,1200.0,1200.0,1200.0
2025-02-17,52821.30722497628,456.33974014780165,-2691.83837587547,1928.761348894553,52514.56993814316,85278.19394565486,76777.1761029597,380.5660221752567,8881.583864870414,426.74726042932707,459.52825925306547,2688.8109383322653,19961.403333410686,16597.37307619685,1804.5411329536578,9846.155967745193,8433.802422929368,10724.734168425615,1328.2784928045576,1200.0,1200.0,1200.0,1200.0
2025-02-18,47610.21875267665,2602.3613158762428,-346.2808306107423,2488.674284532616,52354.973522474764,77051.64434738463,78616.62474342951,2832.929196550628,1267.94880050574,993.3666586018198,602.7760893389927,2942.132167959136,21369.40532364238,17183.52444216634,1328.2784928045576,9878.390969853992,8031.61141760994,10800.0,1467.9383483423167,1200.0,1200.0,1200.0,1200.0
