date,t,price,load_kw,pv_kw,g0,g_final,up,down,c_plan,d_plan,c_exec,d_exec,h_real,w_real,soc_start,soc_end
2025-02-01,0,0.4248,2532.1822,0.0,1413.2763123697948,1413.2763123697948,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,157.91261236979494,6000.0,6750.0
2025-02-01,1,0.4245,2492.4439,0.0,1385.7309548426979,1385.7309548426979,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,136.99030484269792,6750.0,7500.0
2025-02-01,2,0.4269,2464.3,0.0,1351.1272503824202,1351.1272503824202,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,107.07725038242029,7500.0,8250.0
2025-02-01,3,0.4272,2581.7688,0.0,1386.6995397524088,1386.6995397524088,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,123.07140641907563,8250.0,9000.0
2025-02-01,4,0.4271,2546.4635,0.0,1398.8743041502285,1398.8743041502285,0.0,0.0,833.3333333333334,0.0,833.3333333333333,0.0,0.0,141.1303874835619,9000.0,9750.0
2025-02-01,5,0.4285,2436.31,0.0,541.8779780806618,541.8779780806618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.82631141399514,9750.0,9750.0
2025-02-01,6,0.4311,2620.5011,0.0,569.2204650462036,569.2204650462036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.47028171287025,9750.0,9750.0
2025-02-01,7,0.4302,2710.7861,0.0,567.543982958715,567.543982958715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.74629962538171,9750.0,9750.0
2025-02-01,8,0.4279,2676.48,0.0,920.705756430106,920.705756430106,0.0,0.0,333.3333333333333,0.0,333.3333333333333,0.0,0.0,141.29242309677272,9750.0,10050.0
2025-02-01,9,0.4312,2830.598,0.0,607.470487246999,607.470487246999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.70415391366572,10050.0,10050.0
2025-02-01,10,0.4333,2688.1558,0.0,577.804614825241,577.804614825241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.7786481585743,10050.0,10050.0
2025-02-01,11,0.4311,2384.42,0.0,578.7896941292926,578.7896941292926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.3863607959592,10050.0,10050.0
2025-02-01,12,0.4293,2604.5438,0.0,591.4229525738388,591.4229525738388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.33231924050546,10050.0,10050.0
2025-02-01,13,0.4324,2943.3655,0.0,612.7040904665054,612.7040904665054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.14317379983873,10050.0,10050.0
2025-02-01,14,0.4367,3019.32,0.0,609.3878807072791,609.3878807072791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.1678807072791,10050.0,10050.0
2025-02-01,15,0.4348,2844.4369,0.0,603.2568546051343,603.2568546051343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.1840379384676,10050.0,10050.0
2025-02-01,16,0.4335,2768.3064,0.0,624.7047289639553,624.7047289639553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.32032896395532,10050.0,10050.0
2025-02-01,17,0.4357,2861.65,0.0,614.6826159301155,614.6826159301155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.74094926344884,10050.0,10050.0
2025-02-01,18,0.4374,2900.3973,0.0,631.1852112304481,631.1852112304481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.78566123044806,10050.0,10050.0
2025-02-01,19,0.4371,2919.6115,0.0,624.847577454991,624.847577454991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.2456607883243,10050.0,10050.0
2025-02-01,20,0.4356,2993.09,0.0,595.439938009894,595.439938009894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.59160467656068,10050.0,10050.0
2025-02-01,21,0.4353,3109.8584,0.0,577.6143253190169,577.6143253190169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.30459198568349,10050.0,10050.0
2025-02-01,22,0.436,3054.8008,0.0,575.3527835452335,575.3527835452335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.21931687856681,10050.0,10050.0
2025-02-01,23,0.4378,2901.7,0.0,598.1499235434867,598.1499235434867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.53325687682008,10050.0,10050.0
